Designator,Footprint,Quantity,Value,LCSC Part #
"_74, _72, _70, _68, _66, _64, _62, _60, _58, _56, _54, _52, _50, _48, _46, _44, _42, _40, _38, _36, _34, _32, _30, _28, _26, _24, _22, _20, _18, _16",chocv1andv2switch,30,,
"_73, _71, _69, _67, _65, _63, _61, _59, _57, _55, _53, _51, _49, _47, _45, _43, _41, _39, _37, _35, _33, _31, _29, _27, _25, _23, _21, _19, _17, _15",D_MiniMELF_Handsoldering,30,,
_14,promicro_from_flatfootfox,1,,
