Designator,Mid X,Mid Y,Rotation,Layer
_74,-122.04719373769392,12.213376776242882,11.0,bottom
_73,-118.89629502774073,20.234528100685985,11.0,bottom
_72,-125.29094673769391,-4.474285223757117,11.0,bottom
_71,-122.14004802774073,3.546866100685984,11.0,bottom
_70,-100.96208273769392,20.848805776242884,11.0,bottom
_69,-97.81118402774074,28.869957100685983,11.0,bottom
_68,-104.20583573769392,4.161143776242883,11.0,bottom
_67,-101.05493702774073,12.182295100685984,11.0,bottom
_66,-107.44958873769392,-12.526518223757117,11.0,bottom
_65,-104.29869002774073,-4.505366899314016,11.0,bottom
_64,-81.05998873769391,23.39814577624288,11.0,bottom
_63,-77.90909002774073,31.419297100685984,11.0,bottom
_62,-84.30374173769393,6.710483776242883,11.0,bottom
_61,-81.15284302774073,14.731635100685985,11.0,bottom
_60,-87.54749473769392,-9.977179223757117,11.0,bottom
_59,-84.39659602774073,-1.956027899314016,11.0,bottom
_58,-63.75289673769392,12.597355776242882,11.0,bottom
_57,-60.601998027740734,20.618507100685985,11.0,bottom
_56,-66.99664973769391,-4.090306223757117,11.0,bottom
_55,-63.84575102774073,3.9308451006859837,11.0,bottom
_54,-70.24040273769393,-20.777968223757117,11.0,bottom
_53,-67.08950402774073,-12.756816899314016,11.0,bottom
_52,-46.713276737693924,5.923423776242883,11.0,bottom
_51,-43.562378027740735,13.944575100685984,11.0,bottom
_50,-49.95702973769392,-10.764238223757118,11.0,bottom
_49,-46.80613102774073,-2.743086899314016,11.0,bottom
_48,-53.20078273769392,-27.451900223757118,11.0,bottom
_47,-50.04988402774073,-19.430748899314015,11.0,bottom
_46,-55.50608895394151,-58.55434755998029,38.0,bottom
_45,-49.057091763707525,-52.837928266370426,38.00000000000003,bottom
_44,118.97960878941998,11.61709866569118,349.0,bottom
_43,118.89629502774073,20.234528100685985,349.0,bottom
_42,122.22336178941998,-5.07056333430882,349.0,bottom
_41,122.14004802774073,3.546866100685984,349.0,bottom
_40,97.89449778941997,20.252527665691183,349.0,bottom
_39,97.81118402774074,28.869957100685983,349.0,bottom
_38,101.13825078941998,3.56486566569118,349.0,bottom
_37,101.05493702774073,12.182295100685984,349.0,bottom
_36,104.38200378941998,-13.12279633430882,349.0,bottom
_35,104.29869002774073,-4.505366899314016,349.0,bottom
_34,77.99240378941998,22.801867665691184,349.0,bottom
_33,77.90909002774073,31.419297100685984,349.0,bottom
_32,81.23615678941998,6.1142056656911805,349.0,bottom
_31,81.15284302774073,14.731635100685985,349.0,bottom
_30,84.47990978941998,-10.57345733430882,349.0,bottom
_29,84.39659602774073,-1.956027899314016,349.0,bottom
_28,60.68531178941997,12.00107766569118,349.0,bottom
_27,60.601998027740734,20.618507100685985,349.0,bottom
_26,63.92906478941997,-4.68658433430882,349.0,bottom
_25,63.84575102774073,3.9308451006859837,349.0,bottom
_24,67.17281778941998,-21.37424633430882,349.0,bottom
_23,67.08950402774073,-12.756816899314016,349.0,bottom
_22,43.64569178941997,5.32714566569118,349.0,bottom
_21,43.562378027740735,13.944575100685984,349.0,bottom
_20,46.88944478941997,-11.36051633430882,349.0,bottom
_19,46.80613102774073,-2.743086899314016,349.0,bottom
_18,50.133197789419974,-28.04817833430882,349.0,bottom
_17,50.04988402774073,-19.430748899314015,349.0,bottom
_16,53.0435553489205,-60.47828967037298,322.0,bottom
_15,49.057091763707525,-52.837928266370426,322.0,bottom
_14,-0.02,-20.0,180.0,bottom
