Designator,Footprint,Quantity,Value,LCSC Part #
,promicro_from_flatfootfox,1,,
"D1_30, D1_29, D1_28, D1_27, D1_26, D1_25, D1_24, D1_23, D1_22, D1_21, D1_20, D1_19, D1_18, D1_17, D1_16, D1_15, D1_14, D1_13, D1_12, D1_11, D1_10, D1_9, D1_8, D1_7, D1_6, D1_5, D1_4, D1_3, D1_2, D1",diode_tht_sod123,30,,
"S1_30, S1_29, S1_28, S1_27, S1_26, S1_25, S1_24, S1_23, S1_22, S1_21, S1_20, S1_19, S1_18, S1_17, S1_16, S1_15, S1_14, S1_13, S1_12, S1_11, S1_10, S1_9, S1_8, S1_7, S1_6, S1_5, S1_4, S1_3, S1_2, S1",switch,30,,
