Designator,Mid X,Mid Y,Rotation,Layer
,-0.02,-22.5,180.0,bottom
D1_30,70.18315462608682,-28.505875281978106,169.0,bottom
D1_29,-100.06018589994709,17.133456500878843,191.0,bottom
D1_28,-80.1580908999471,19.682795500878843,191.0,bottom
D1_27,44.843003626086826,2.0198397180218928,169.0,bottom
D1_26,57.70137114403228,-63.85053077701218,142.0,bottom
D1_25,-121.14529589994709,8.498027500878845,191.0,bottom
D1_24,-57.651333249189,-63.88962466503389,218.0,bottom
D1_23,87.49024662608682,-17.705085281978107,169.0,bottom
D1_22,-44.78067089994708,2.0077255008788453,191.0,bottom
D1_21,-48.41558289994708,-16.692272499121156,191.0,bottom
D1_20,80.22042362608681,19.694909718021893,169.0,bottom
D1_19,-107.33000889994709,-20.266539499121155,191.0,bottom
D1_18,121.20762862608682,8.510141718021892,169.0,bottom
D1_17,-83.7930028999471,0.9827985008788453,191.0,bottom
D1_16,-124.78020789994709,-10.201970499121156,191.0,bottom
D1_15,124.84254062608682,-10.189856281978107,169.0,bottom
D1_14,-62.850998899947086,8.882006500878845,191.0,bottom
D1_13,48.477915626086826,-16.68015828197811,169.0,bottom
D1_12,62.91333162608682,8.894120718021892,169.0,bottom
D1_11,-103.69509689994709,-1.5665414991211546,191.0,bottom
D1_10,-52.050493899947085,-35.39227049912115,191.0,bottom
D1_9,100.12251862608682,17.145570718021894,169.0,bottom
D1_8,107.39234162608682,-20.254425281978108,169.0,bottom
D1_7,66.54824362608683,-9.805877281978107,169.0,bottom
D1_6,-66.48591089994709,-9.817991499121156,191.0,bottom
D1_5,83.85533562608681,0.994912718021893,169.0,bottom
D1_4,52.11282662608682,-35.38015628197811,169.0,bottom
D1_3,103.75742962608682,-1.554427281978107,169.0,bottom
D1_2,-70.12082189994709,-28.517989499121157,191.0,bottom
D1,-87.42791389994709,-17.717199499121154,191.0,bottom
S1_30,-47.09817591998485,-6.491225638864519,191.0,bottom
S1_29,60.3134293309594,18.845877779882436,169.0,bottom
S1_28,50.8668380750208,-56.16378124999567,142.0,bottom
S1_27,49.5129243309594,-25.428399220117566,169.0,bottom
S1_26,-43.46326391998485,12.20877236113548,191.0,bottom
S1_25,118.60772633095941,18.461898779882436,169.0,bottom
S1_24,67.58325233095941,-18.554118220117566,169.0,bottom
S1_23,42.243101330959405,11.971596779882436,169.0,bottom
S1_22,-102.37768991998485,8.634505361135481,191.0,bottom
S1_21,101.15752733095941,8.397329779882437,169.0,bottom
S1_20,-119.82788891998484,18.699074361135484,191.0,bottom
S1_19,97.52261633095941,27.097327779882434,169.0,bottom
S1_18,-68.80341491998485,-18.316942638864518,191.0,bottom
S1_17,-78.84068391998484,29.883842361135482,191.0,bottom
S1_16,-123.46280091998484,-0.0009236388645186089,191.0,bottom
S1_15,104.79243933095941,-10.302668220117564,169.0,bottom
S1_14,-82.47559591998484,11.18384536113548,191.0,bottom
S1_13,-50.73308691998485,-25.191223638864518,191.0,bottom
S1_12,-65.16850391998484,0.3830553611354814,191.0,bottom
S1_11,-106.01260191998485,-10.06549263886452,191.0,bottom
S1_10,-86.11050691998484,-7.5161526388645195,191.0,bottom
S1_9,81.2554333309594,10.946669779882436,169.0,bottom
S1_8,84.89034433095941,-7.753328220117563,169.0,bottom
S1_7,-61.53359191998485,19.083053361135484,191.0,bottom
S1_6,122.24263833095941,-0.23809922011756385,169.0,bottom
S1_5,77.6205213309594,29.646666779882434,169.0,bottom
S1_4,45.878013330959405,-6.728401220117563,169.0,bottom
S1_3,-98.74277891998484,27.334503361135482,191.0,bottom
S1_2,-51.84633544175396,-55.39851403616588,218.0,bottom
S1,63.9483413309594,0.14587977988243614,169.0,bottom
