Designator,Mid X,Mid Y,Rotation,Layer
_43,-117.2804819963688,16.52964772766454,281.0,bottom
_42,-120.9153939963688,-2.170350272335463,281.0,bottom
_41,-98.73742672766453,27.362038003631188,191.0,bottom
_40,-102.37233772766453,8.662040003631189,191.0,bottom
_39,-106.00724972766453,-10.03795799636881,191.0,bottom
_38,-78.83533172766452,29.91137700363119,191.0,bottom
_37,-82.47024372766452,11.21138000363119,191.0,bottom
_36,-86.10515472766453,-7.488617996368811,191.0,bottom
_35,-61.52823972766454,19.11058800363119,191.0,bottom
_34,-65.16315172766454,0.4105900036311885,191.0,bottom
_33,-68.79806272766453,-18.289407996368812,191.0,bottom
_32,-43.45791172766454,12.23630700363119,191.0,bottom
_31,-47.09282372766454,-6.463690996368811,191.0,bottom
_30,-50.72773472766454,-25.163688996368812,191.0,bottom
_29,-51.82906613737108,-55.37641033452721,218.0,bottom
_28,117.51765757762186,15.30948513863909,79.0,bottom
_27,121.15256957762186,-3.3905128613609095,79.0,bottom
_26,97.51726413863909,27.124862422378147,169.0,bottom
_25,101.1521751386391,8.424864422378143,169.0,bottom
_24,104.7870871386391,-10.275133577621856,169.0,bottom
_23,77.61516913863909,29.674201422378147,169.0,bottom
_22,81.25008113863909,10.974204422378143,169.0,bottom
_21,84.88499213863909,-7.7257935776218565,169.0,bottom
_20,60.30807713863909,18.873412422378145,169.0,bottom
_19,63.94298913863909,0.1734144223781433,169.0,bottom
_18,67.5779001386391,-18.526583577621857,169.0,bottom
_17,42.237749138639096,11.999131422378143,169.0,bottom
_16,45.872661138639096,-6.700866577621857,169.0,bottom
_15,49.50757213863909,-25.400864577621856,169.0,bottom
_14,50.84956877063792,-56.141677548357,142.0,bottom
_13,-0.02,-22.5,180.0,bottom
D1_30,-110.82140390883089,14.608652392285993,101.0,bottom
D1_29,-114.45631490883088,-4.091345607714006,101.0,bottom
D1_28,-100.06018609075609,17.13345551925166,191.0,bottom
D1_27,-103.6950970907561,-1.5665424807483377,191.0,bottom
D1_26,-107.33000909075609,-20.266540480748336,191.0,bottom
D1_25,-80.15809109075609,19.68279451925166,191.0,bottom
D1_24,-83.79300309075609,0.9827975192516623,191.0,bottom
D1_23,-87.42791409075609,-17.717200480748335,191.0,bottom
D1_22,-62.85099909075608,8.882005519251663,191.0,bottom
D1_21,-66.48591109075608,-9.817992480748337,191.0,bottom
D1_20,-70.12082209075609,-28.517990480748338,191.0,bottom
D1_19,-44.78067109075608,2.007724519251662,191.0,bottom
D1_18,-48.41558309075608,-16.692273480748337,191.0,bottom
D1_17,-52.05049409075608,-35.39227148074834,191.0,bottom
D1_16,-57.651333249189,-63.88962466503389,218.0,bottom
D1_15,110.8214037180219,14.608653373913176,259.0,bottom
D1_14,114.4563147180219,-4.091344626086823,259.0,bottom
D1_13,100.12251862608682,17.145570718021894,169.0,bottom
D1_12,103.75742962608682,-1.554427281978107,169.0,bottom
D1_11,107.39234162608682,-20.254425281978108,169.0,bottom
D1_10,80.22042362608681,19.694909718021893,169.0,bottom
D1_9,83.85533562608681,0.994912718021893,169.0,bottom
D1_8,87.49024662608682,-17.705085281978107,169.0,bottom
D1_7,62.91333162608682,8.894120718021892,169.0,bottom
D1_6,66.54824362608683,-9.805877281978107,169.0,bottom
D1_5,70.18315462608682,-28.505875281978106,169.0,bottom
D1_4,44.843003626086826,2.0198397180218928,169.0,bottom
D1_3,48.477915626086826,-16.68015828197811,169.0,bottom
D1_2,52.11282662608682,-35.38015628197811,169.0,bottom
D1,57.70137114403228,-63.85053077701218,142.0,bottom
